web-scraper-order,web-scraper-start-url,products,products-href,Headline Price,Standard Price,Saving Text,Product Name,Delivery Availability,Collection Availability,Specs,
1672851008-592,https://www.currys.co.uk/appliances/floorcare/vacuum-cleaners?start=0&sz=999,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,https://www.currys.co.uk/products/tower-t102000pets-cylinder-vacuum-cleaner-blue-10208509.html,£69.99,,,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,,,"Power cord storage

Yes",12
1672851008-593,https://www.currys.co.uk/appliances/floorcare/vacuum-cleaners?start=0&sz=999,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,https://www.currys.co.uk/products/tower-t102000pets-cylinder-vacuum-cleaner-blue-10208509.html,£69.99,,,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,,,"Power cord length

5 m",
1672851008-594,https://www.currys.co.uk/appliances/floorcare/vacuum-cleaners?start=0&sz=999,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,https://www.currys.co.uk/products/tower-t102000pets-cylinder-vacuum-cleaner-blue-10208509.html,£69.99,,,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,,,"Dimensions

300 x 250 x 240 mm (H x W x D)",
1672851008-595,https://www.currys.co.uk/appliances/floorcare/vacuum-cleaners?start=0&sz=999,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,https://www.currys.co.uk/products/tower-t102000pets-cylinder-vacuum-cleaner-blue-10208509.html,£69.99,,,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,,,"Colour

Blue",
1672851008-596,https://www.currys.co.uk/appliances/floorcare/vacuum-cleaners?start=0&sz=999,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,https://www.currys.co.uk/products/tower-t102000pets-cylinder-vacuum-cleaner-blue-10208509.html,£69.99,,,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,,,"Weight

4.5 kg",
1672851008-597,https://www.currys.co.uk/appliances/floorcare/vacuum-cleaners?start=0&sz=999,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,https://www.currys.co.uk/products/tower-t102000pets-cylinder-vacuum-cleaner-blue-10208509.html,£69.99,,,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,,,"Box contents

- Tower T102000PETS Cylinder Vacuum Cleaner
- Pet hair turbine tool
- 2 in 1 crevice tool",
1672851008-598,https://www.currys.co.uk/appliances/floorcare/vacuum-cleaners?start=0&sz=999,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,https://www.currys.co.uk/products/tower-t102000pets-cylinder-vacuum-cleaner-blue-10208509.html,£69.99,,,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,,,"Manufacturer's guarantee

1 year",
1672851008-599,https://www.currys.co.uk/appliances/floorcare/vacuum-cleaners?start=0&sz=999,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,https://www.currys.co.uk/products/tower-t102000pets-cylinder-vacuum-cleaner-blue-10208509.html,£69.99,,,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,,,"Type

Cylinder bagless vacuum cleaner",
1672851008-600,https://www.currys.co.uk/appliances/floorcare/vacuum-cleaners?start=0&sz=999,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,https://www.currys.co.uk/products/tower-t102000pets-cylinder-vacuum-cleaner-blue-10208509.html,£69.99,,,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,,,"Power

700 W",
1672851008-601,https://www.currys.co.uk/appliances/floorcare/vacuum-cleaners?start=0&sz=999,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,https://www.currys.co.uk/products/tower-t102000pets-cylinder-vacuum-cleaner-blue-10208509.html,£69.99,,,TOWER T102000PETS Cylinder Vacuum Cleaner - Blue,,,"Capacity

2 litres",
